,rel,query,author_name
42484,2,Virtualization Technology,Alexey Onufriev
23589,1,Internet of Things,Gianluigi Ferrari
22360,2,Human-Computer Interaction,Jason Alexander
23920,5,Internet of Things,James Rwigema
10801,5,Reinforcement Learning,Andreas Christmann
38337,2,Complex Systems,Aaron A. King
38162,4,Business Intelligence,Goker Aydin
25620,1,Robotics,Andrea Vedaldi
42544,4,Virtualization Technology,Stephen A. Smith
36138,1,Pattern Recognition,Christian Kerl
37997,4,Business Intelligence,Chandrasekar Subramaniam
5341,3,Machine Intelligence,Leandro dos Santos Coelho
8781,4,Machine Learning,Richard Everson
37124,4,Autonomous Systems,Mika Vainio
11477,1,Computer Graphics,William H. Press
40264,2,Remote Sensing,Zhe Zhu
36964,1,E-learning Technologies,Justin James
39109,2,Information Security,Jean-Pierre Seifert
8717,4,Machine Learning,Marcus Liwicki
38729,1,Artificial Intelligence Ethics,Sven Nyholm
22289,5,Computer Graphics,Eran Segal
28969,2,Big Data Analytics,Manuel A. Rivas
34901,4,High-Performance Computing,Raj Kumar Gupta
10873,1,Data Mining,Ariel Beresniak
41045,4,Scientific Computing,Dirk Helbing
38686,2,Computer Aided Engineering,Ahish Mysore Somashekar
11023,1,Text Analytics,Guillaume Jacquet
38672,1,Computer Aided Engineering,Keith Case
5320,4,Big Data Analytics,Dipanjan Roy
31949,1,Neural Networks,Dariusz Świetlik
38673,1,Computer Aided Engineering,Keith Case
20433,3,Computer Graphics,Dawn Song
5369,3,Artificial Intelligence,Awni Hannun
8777,3,Reinforcement Learning,Nils Reimers
42523,2,Virtualization Technology,Romesh C. Batra
23016,1,Cryptography,Francisco Rodríguez-Henríquez
8066,2,Reinforcement Learning,Wai Lok Woo
37006,1,Autonomous Systems,Alexander B. Phillips
23454,2,Virtual Reality,Andreas Reichinger
40291,2,Remote Sensing,Liangyun Liu
37356,2,Business Intelligence,Maqbool Dada
30360,4,Information Security,Sokratis K. Katsikas
8879,4,Deep Learning,Anders Søgaard
44834,1,Web Services,Helmut G. Katzgraber
45049,3,Web Services,Martin Wistuba
38413,2,Computational Finance,Sudheer Kumar Battula
23605,2,Internet of Things,Roger Sørheim
42925,1,Web Services,Hugo Krawczyk
41965,1,System Integration,Cathy H. Xia
23000,1,Cryptography,Shai Halevi
22459,5,Human-Computer Interaction,Paul Lubos
24,1,Natural Language Processing,Chenghua Lin
25611,5,Cybersecurity,Marianthi Theocharidou
31938,5,Computational Biology,Thomas Rattei
30351,3,Information Security,Sascha Fahl
8909,4,Deep Learning,Riccardo Miotto
28971,2,Big Data Analytics,Giovanni Parmigiani
30171,1,Information Security,Yixian Yang
39032,3,Health Informatics,Ray Jones
31626,4,Distributed Systems,Meelis Roos
41848,3,System Dynamics,Jari Backman
31512,1,Grid Computing,Kieran Greer
5306,2,Deep Learning,Zachary C. Lipton
45053,3,Web Services,Arvindh Krishnaswamy
28970,2,Big Data Analytics,Stephen B Montgomery
22357,2,Human-Computer Interaction,Annika Waern
32200,5,Computer Architecture,Zhihao Li
39137,1,IT Governance,Daniele Nardi
8087,5,Artificial Intelligence,Kun Zhang
39201,4,IT Governance,Armando Papa
5373,4,Machine Intelligence,Awni Hannun
23421,1,Virtual Reality,Thomas Lunner
25517,3,Cybersecurity,Chang-Tsun Li
25480,3,Information Security,Jeff Yan
4865,1,Machine Learning,Samy Bengio
31547,2,Distributed Systems,Navinda Kottege
39298,5,Network Management,Piotr Janus
31603,4,Distributed Systems,Patrick Minder
23893,4,Internet of Things,Zhihai Wu
26339,1,Bioinformatics,Christian von Mering
42535,3,Virtualization Technology,Chen-Ching Liu
42429,1,Text Analytics,Eric Harvey
45033,3,Web Services,Ran Ding
31635,5,Distributed Systems,Tanmoy Sarkar
31582,3,Distributed Systems,Vladimir Podolskiy
4884,1,Machine Learning,Thore Graepel
37427,3,Business Intelligence,Nicholas Evangelopoulos
26249,3,Robotics,Marco Hutter
32150,3,Operating Systems,Remo Suppi
41941,5,System Dynamics,Dionysios Theodosis
36920,3,Computational Chemistry,Eduardo Chamorro
41131,1,Software Testing,Tao Xie
38670,5,Computational Finance,Zhijiang Chen
10704,5,Statistical Learning,Francesco Marcelloni
42314,4,System Integration,Van-Phuc Hoang
22214,5,Computer Vision,Daniela Rus
5360,4,Machine Intelligence,Rolf Pfeifer
39932,4,Quantitative Analysis,Yanyan Sheng
23915,5,Internet of Things,Daniel Uvaydov
23512,3,Augmented Reality,Beatriz García
38365,4,Complex Systems,Marin Bukov
32052,1,Semantic Web,Thomas Riechert
37339,1,Business Intelligence,Ali Emrouznejad
39882,1,Quantitative Analysis,Abdur Rahim
24160,1,Cloud Computing,Haozhe Jia
32262,1,Operating Systems,Leena Suhl
28664,3,Bioinformatics,Simon Kasif
23450,2,Virtual Reality,Andrew Stanley
42321,4,System Integration,Manuel Eggimann
31616,4,Distributed Systems,Stefan Kolb
28009,2,Computational Biology,Burkhard Rost
23469,3,Virtual Reality,Antonella Ferrara
36927,4,Computational Chemistry,Sebastian Kmiecik
32104,1,Computer Architecture,Carlos Toro
32485,2,Operating Systems,Chi-Wen Chen
10805,5,Machine Learning,Eun Yong Kang
23856,4,Internet of Things,Haider Ali
23606,2,Internet of Things,Cheng-Lin Liu
38903,2,Enterprise Resource Planning,Teun van Erp
36892,2,Ubiquitous Computing,Esa Heikkinen
30334,3,Information Security,Nils Ole Tippenhauer
31216,5,Information Security,Jason Crampton
38372,5,Complex Systems,Pier Luigi Gentili
25380,2,Cybersecurity,Alexandra Boldyreva
5328,3,Artificial Intelligence,Carles Sierra
50,1,Natural Language Processing,Ekaterina Kochmar
42554,4,Virtualization Technology,Liwu Li
23010,1,Cryptography,Bill Horne
8919,5,Machine Learning,Jian Zhang
22598,4,Quantum Computing,Steven P. Reinhardt
31683,1,Ubiquitous Computing,Peter Parnes
38416,2,Computational Finance,Sung Tae Kim
32521,4,Operating Systems,Jason T. Black
42582,4,Virtualization Technology,Rafael V. Davalos
41599,4,Software Testing,Guenther Ruhe
22211,2,Software Engineering,Mani Srivastava
42423,1,Text Analytics,John McNaught
42488,2,Virtualization Technology,Arun Phadke
38979,3,Health Informatics,Wanda Pratt
37013,2,Autonomous Systems,Anastasios M. Lekkas
31225,5,Information Security,JaeSeung Song
32502,3,Operating Systems,Xin James He
11206,3,Data Mining,Stamatina Thomaidou
20425,3,Computer Graphics,Andrew McCallum
16210,5,Pattern Recognition,Wei Wang
39711,2,Performance Engineering,Eduardo Gallo
26148,3,Robotics,Shuai Li
41276,2,Software Testing,Kai Petersen
36150,2,Pattern Recognition,Xinchu Shi
35335,1,Embedded Systems,Kees Goossens
40278,2,Remote Sensing,Miguel D. Mahecha
11219,4,Data Mining,Cong Qi
23748,3,Internet of Things,Jongsoon Park
22279,5,Computer Vision,Gilles Brassard
11551,1,Computer Graphics,Judea Pearl
44808,1,Web Services,Leonardo de Moura
41282,2,Software Testing,Young-June Choi
28678,3,Bioinformatics,Helen Parkinson
36131,1,Pattern Recognition,Martin Kraus
35152,5,High-Performance Computing,Hongying Li
29336,3,Big Data Analytics,Jun Zhu
31694,2,Mobile Computing,Sabitri Poudel
4930,1,Deep Learning,Menglong Zhu
38388,1,Computational Finance,Carl Chiarella
23488,4,Virtual Reality,Sebastian Pape
5342,2,Statistical Learning,Leandro dos Santos Coelho
22398,3,Human-Computer Interaction,Chang Hu
42895,1,Visual Analytics,Jo Wood
8739,3,Statistical Learning,Kevin Bryson
4877,1,Statistical Learning,Samy Bengio
40261,1,Remote Sensing,Onisimo Mutanga
11483,1,Computer Vision,Scott Shenker
32526,4,Operating Systems,Leily Farrokhvar
37357,2,Business Intelligence,Dianne Cook
7917,2,Deep Learning,Richard Bowden
41811,4,Statistical Learning,Bernd Bischl
38357,3,Complex Systems,Zi-Qiang Lang
39934,4,Quantitative Analysis,Joerg Franke
38782,2,Artificial Intelligence Ethics,Connor Wright
25550,3,Network Security,Marc A. Zissman
33426,1,Digital Signal Processing,Gaetano Giunta
39045,4,Health Informatics,Niels Peek
