,query,rel,docid
1658,Object-Oriented Programming,3,1991435895
307,Software Engineering,2,2061350602
1073,Cloud Data Management,4,2036260704
939,Grid Computing,3,2022901666
398,Network Security,1,1969953346
1571,Location-Based Services,2,2166636216
852,Web Development Technologies,4,2109350694
1802,Sensor Networks,2,2071043548
691,Operating Systems,1,2036757496
1681,Object-Oriented Programming,1,3008211842
884,Ubiquitous Computing,5,2153074717
319,Software Engineering,1,2142168034
947,Grid Computing,1,1995687100
1306,Visual Analytics,1,1836550785
1368,XML Technologies,1,1504906285
467,Distributed Systems,1,2016338530
224,Database Systems,3,1659104847
1376,Gesture Recognition,4,1980601381
839,Database Management Systems,2,1967307074
935,Grid Computing,4,3003295713
73,Computer Vision,5,2030269333
1790,Sensor Networks,3,2044195080
1619,Network Management,4,2142717373
1843,Software Testing,4,1996596150
1208,Database Management Systems,5,1994694191
259,Algorithm Design,1,2044690837
1714,Program Analysis,5,2040152339
798,Embedded Systems,4,1994115836
1301,Distributed Databases,2,2115585015
1777,Search Engine Optimization,4,1966320404
1439,Health Informatics,4,2058669377
842,E-commerce Technology,2,2047423662
685,API Design,1,2808893223
1177,Data Structures,3,1981561414
413,Parallel Computing,3,2112708371
1392,Gesture Recognition,2,2119047737
1880,Supply Chain Management Systems,2,1969911631
1862,Software Testing,1,2151584853
330,Database Systems,4,2166519306
660,Computer Architecture,1,2135018441
1602,Mobile Application Development,4,2883931463
115,Quantum Computing,3,3004528754
918,Ubiquitous Computing,1,1985418608
1137,Program Analysis,4,2470899015
1414,Graph Algorithms,4,2020302654
581,Computational Biology,2,1974165330
1355,Evolutionary Computation,5,2022849555
1748,Quantitative Analysis,1,2165195887
1327,Enterprise Resource Planning,4,2123973141
702,Wireless Communications,3,2018008632
672,Advanced Algorithms,1,2064138151
210,Cybersecurity,3,2052714158
1511,IT Governance,2,2034708052
1051,Business Intelligence,4,2142132842
1494,Information Security,1,3003330252
1023,Autonomous Systems,5,2115974339
1174,Search Engine Optimization,4,2028797498
562,Game Development,3,2089914848
169,Algorithm Design,2,1519293715
182,Big Data Analytics,3,109998294
1519,Knowledge Discovery,4,2136663836
409,Semantic Web,4,2166746503
669,Operating Systems,3,2124837944
724,Cloud Data Management,4,388536124
2007,Web Services,1,2103087994
174,Internet of Things,1,2905503927
1696,Performance Engineering,5,2001172853
953,Digital Forensics,5,1515615411
1221,Database Management Systems,4,2018649989
156,Algorithm Design,5,2898911770
861,Distributed Databases,3,2085634394
26,Information Retrieval,4,2015419638
181,Internet of Things,1,2119046642
367,Database Systems,1,2998280153
1536,Knowledge Discovery,2,2008141968
1129,Program Analysis,4,72346910
1871,Supply Chain Management Systems,4,1983652531
213,Database Systems,4,1493149182
1275,Virtualization Technology,4,2101849888
708,Wireless Communications,2,3008218011
1364,Evolutionary Computation,1,2102494690
346,Database Systems,2,2043934800
389,Network Security,2,2139733965
602,Deep Learning,2,2180877453
1520,Knowledge Discovery,4,1978760769
112,Augmented Reality,3,2133175182
341,Database Systems,3,3005366334
320,Database Systems,5,2124199440
762,High-Performance Computing,5,2065547432
1737,Program Analysis,1,2079027980
693,Digital Signal Processing,4,2128065014
1975,Visual Analytics,2,1979011152
1122,Computer Aided Engineering,3,1969548085
1512,IT Governance,2,1993802356
1095,Cloud Data Management,1,2133174463
1932,User Interface Design,3,2030356910
1730,Program Analysis,3,1975514564
1645,Object-Oriented Programming,4,1990456105
441,Computer Architecture,2,2089507843
2027,Workflow Management,4,2104910798
1426,Graph Algorithms,2,2041786457
1674,Object-Oriented Programming,1,2053983114
16,Natural Language Processing,2,3003769754
1197,Data Structures,1,2997905378
1532,Knowledge Discovery,3,2082593161
566,Game Development,1,2900735286
